Algorithm,Number of Nodes,Numbers of Edges,Computation Time,Path Found,Minimal Weight
Kruskal's Algorithm (without queue),9,17,0.000139152000000,"[('B', 'C', 6), ('A', 'B', 7), ('D', 'E', 10), ('C', 'D', 11), ('D', 'F', 13), ('E', 'I', 15), ('F', 'H', 16), ('G', 'H', 20)]",98
Kruskal's Algorithm (without queue),4,6,0.000045434999997,"[(0, 3, 50), (1, 3, 284), (1, 2, 753)]",1087
Prim's Algorithm (without queue),4,6,0.000026317000000,"[(0, 3, 50), (3, 1, 284), (1, 2, 753)]",1087
Kruskal's Algorithm (without queue),8,28,0.000105362999999,"[(0, 6, 15), (4, 7, 85), (0, 1, 93), (1, 7, 98), (2, 6, 125), (3, 5, 198), (1, 5, 291)]",905
Prim's Algorithm (without queue),8,28,0.000060568000002,"[(0, 6, 15), (0, 1, 93), (1, 7, 98), (7, 4, 85), (6, 2, 125), (1, 5, 291), (5, 3, 198)]",905
Kruskal's Algorithm (without queue),16,120,0.000497598000003,"[(4, 5, 24), (3, 6, 25), (4, 9, 42), (2, 9, 43), (1, 8, 44), (6, 12, 48), (1, 13, 62), (2, 15, 70), (6, 11, 75), (2, 3, 82), (7, 13, 92), (0, 3, 99), (5, 14, 99), (7, 10, 105), (3, 13, 117)]",1027
Prim's Algorithm (without queue),16,120,0.000230219999999,"[(0, 3, 99), (3, 6, 25), (6, 12, 48), (6, 11, 75), (3, 2, 82), (2, 9, 43), (9, 4, 42), (4, 5, 24), (2, 15, 70), (5, 14, 99), (3, 13, 117), (13, 1, 62), (1, 8, 44), (13, 7, 92), (7, 10, 105)]",1027
Kruskal's Algorithm (without queue),32,496,0.001137793999998,"[(0, 11, 1), (3, 29, 1), (12, 27, 4), (1, 12, 6), (13, 19, 6), (12, 22, 7), (2, 25, 8), (11, 30, 8), (6, 23, 9), (18, 22, 12), (5, 13, 14), (15, 21, 16), (1, 29, 17), (5, 14, 22), (15, 17, 23), (3, 16, 27), (4, 24, 27), (1, 9, 29), (10, 27, 33), (7, 22, 35), (11, 20, 36), (16, 30, 36), (5, 9, 46), (15, 26, 47), (8, 12, 51), (15, 16, 51), (16, 24, 51), (15, 28, 52), (17, 25, 68), (22, 23, 69), (23, 31, 94)]",906
Prim's Algorithm (without queue),32,496,0.002150867000001,"[(0, 11, 1), (11, 30, 8), (11, 20, 36), (30, 16, 36), (16, 3, 27), (3, 29, 1), (29, 1, 17), (1, 12, 6), (12, 27, 4), (12, 22, 7), (22, 18, 12), (1, 9, 29), (27, 10, 33), (22, 7, 35), (12, 5, 46), (5, 13, 14), (13, 19, 6), (5, 14, 22), (16, 15, 51), (15, 21, 16), (15, 17, 23), (15, 26, 47), (16, 24, 51), (24, 4, 27), (12, 8, 51), (15, 28, 52), (17, 25, 68), (25, 2, 8), (22, 23, 69), (23, 6, 9), (23, 31, 94)]",906
Kruskal's Algorithm (without queue),64,2016,0.004832159999999,"[(9, 39, 2), (42, 47, 2), (17, 47, 3), (8, 17, 6), (2, 36, 7), (51, 61, 8), (8, 14, 9), (21, 36, 9), (34, 52, 9), (37, 48, 10), (40, 54, 11), (42, 51, 11), (45, 52, 11), (5, 53, 12), (33, 39, 12), (13, 60, 13), (46, 62, 13), (15, 43, 14), (12, 52, 15), (14, 30, 16), (20, 55, 16), (22, 39, 17), (6, 36, 19), (11, 35, 19), (13, 31, 19), (9, 63, 20), (9, 41, 21), (16, 17, 21), (43, 44, 21), (4, 41, 22), (26, 47, 22), (6, 39, 23), (56, 62, 23), (10, 53, 24), (32, 36, 25), (41, 44, 25), (51, 60, 25), (13, 53, 26), (18, 23, 26), (28, 57, 26), (12, 16, 27), (50, 52, 27), (25, 42, 28), (23, 57, 29), (30, 57, 29), (33, 59, 29), (0, 18, 32), (0, 58, 32), (7, 29, 33), (28, 55, 34), (39, 42, 34), (2, 56, 36), (7, 55, 37), (48, 61, 39), (19, 55, 40), (27, 30, 40), (35, 63, 40), (3, 27, 44), (49, 60, 45), (13, 40, 48), (24, 63, 54), (1, 42, 62), (38, 56, 66)]",1518
Prim's Algorithm (without queue),64,2016,0.009526093000002,"[(0, 18, 32), (18, 23, 26), (23, 57, 29), (57, 28, 26), (57, 30, 29), (30, 14, 16), (14, 8, 9), (8, 17, 6), (17, 47, 3), (47, 42, 2), (42, 51, 11), (51, 61, 8), (17, 16, 21), (47, 26, 22), (51, 60, 25), (60, 13, 13), (13, 31, 19), (13, 53, 26), (53, 5, 12), (53, 10, 24), (16, 12, 27), (12, 52, 15), (52, 34, 9), (52, 45, 11), (52, 50, 27), (42, 25, 28), (0, 58, 32), (28, 55, 34), (55, 20, 16), (42, 39, 34), (39, 9, 2), (39, 33, 12), (39, 22, 17), (9, 63, 20), (9, 41, 21), (41, 4, 22), (39, 6, 23), (6, 36, 19), (36, 2, 7), (36, 21, 9), (41, 44, 25), (44, 43, 21), (43, 15, 14), (36, 32, 25), (33, 59, 29), (2, 56, 36), (56, 62, 23), (62, 46, 13), (55, 7, 37), (7, 29, 33), (61, 48, 39), (48, 37, 10), (30, 27, 40), (55, 19, 40), (63, 35, 40), (35, 11, 19), (27, 3, 44), (60, 49, 45), (13, 40, 48), (40, 54, 11), (63, 24, 54), (42, 1, 62), (56, 38, 66)]",1518
Kruskal's Algorithm (without queue),128,8128,0.016328804000000,"[(0, 36, 1), (1, 66, 1), (2, 94, 1), (12, 41, 1), (13, 93, 1), (19, 76, 1), (21, 53, 1), (25, 123, 1), (28, 67, 1), (43, 95, 1), (46, 48, 1), (58, 79, 1), (59, 115, 1), (66, 80, 1), (75, 123, 1), (83, 108, 1), (91, 107, 1), (98, 116, 1), (6, 37, 2), (7, 35, 2), (7, 65, 2), (13, 34, 2), (13, 117, 2), (31, 72, 2), (71, 102, 2), (73, 122, 2), (89, 97, 2), (91, 100, 2), (121, 125, 2), (1, 57, 3), (5, 12, 3), (10, 47, 3), (13, 21, 3), (21, 47, 3), (25, 100, 3), (26, 35, 3), (35, 60, 3), (38, 50, 3), (44, 78, 3), (57, 108, 3), (68, 112, 3), (70, 98, 3), (111, 115, 3), (3, 83, 4), (10, 19, 4), (10, 91, 4), (14, 35, 4), (25, 104, 4), (40, 126, 4), (43, 94, 4), (52, 117, 4), (64, 69, 4), (67, 112, 4), (68, 70, 4), (91, 109, 4), (2, 10, 5), (12, 39, 5), (37, 58, 5), (77, 92, 5), (28, 38, 6), (38, 99, 6), (86, 100, 6), (113, 119, 6), (0, 47, 7), (11, 125, 7), (16, 107, 7), (22, 112, 7), (28, 37, 7), (30, 40, 7), (32, 96, 7), (47, 127, 7), (49, 86, 7), (73, 90, 7), (79, 108, 7), (3, 44, 8), (5, 61, 8), (6, 86, 8), (43, 90, 8), (49, 56, 8), (58, 110, 8), (62, 85, 8), (64, 65, 8), (69, 102, 8), (71, 80, 8), (21, 88, 9), (27, 96, 9), (93, 126, 9), (4, 17, 10), (11, 61, 10), (16, 23, 10), (21, 87, 10), (30, 101, 10), (40, 120, 10), (58, 111, 10), (5, 16, 11), (57, 63, 11), (72, 94, 11), (8, 109, 12), (15, 16, 12), (32, 76, 12), (48, 102, 12), (50, 113, 12), (4, 85, 13), (9, 81, 13), (17, 71, 13), (24, 122, 13), (58, 77, 13), (5, 9, 15), (29, 109, 15), (54, 65, 15), (34, 82, 16), (61, 74, 16), (35, 51, 17), (65, 84, 17), (60, 89, 19), (40, 114, 20), (45, 104, 20), (46, 105, 20), (69, 124, 22), (34, 42, 23), (20, 66, 25), (21, 118, 25), (2, 55, 26), (106, 107, 27), (39, 103, 32), (18, 21, 54), (28, 33, 55)]",1065
