Algorithm,Number of Nodes,Number of Edges,Computation Time,Path Found,Minimal Weight
Kruskal's Algorithm (without queue),4,6,0.000033645000002,"[(0, 2, 107), (1, 2, 189), (2, 3, 215)]",511
Prim's Algorithm (without queue),4,6,0.000015803000000,"[(0, 2, 107), (2, 1, 189), (2, 3, 215)]",511
Kruskal's Algorithm (without queue),8,28,0.000067550000001,"[(1, 7, 45), (4, 7, 54), (3, 6, 114), (5, 6, 149), (1, 3, 183), (2, 6, 207), (0, 5, 228)]",980
Prim's Algorithm (without queue),8,28,0.000038801000002,"[(0, 5, 228), (5, 6, 149), (6, 3, 114), (3, 1, 183), (1, 7, 45), (7, 4, 54), (6, 2, 207)]",980
Kruskal's Algorithm (without queue),16,120,0.000250302000001,"[(1, 6, 3), (12, 13, 32), (1, 10, 39), (6, 12, 48), (2, 7, 52), (4, 12, 60), (4, 14, 61), (9, 12, 86), (11, 14, 86), (2, 3, 95), (2, 14, 108), (0, 12, 109), (8, 15, 112), (8, 13, 143), (1, 5, 224)]",1258
Prim's Algorithm (without queue),16,120,0.000195756000000,"[(0, 12, 109), (12, 13, 32), (12, 6, 48), (6, 1, 3), (1, 10, 39), (12, 4, 60), (4, 14, 61), (12, 9, 86), (14, 11, 86), (14, 2, 108), (2, 7, 52), (2, 3, 95), (13, 8, 143), (8, 15, 112), (1, 5, 224)]",1258
Kruskal's Algorithm (without queue),32,496,0.001208094000003,"[(18, 31, 3), (6, 13, 4), (14, 25, 4), (0, 26, 8), (8, 30, 12), (7, 8, 13), (13, 29, 14), (0, 23, 17), (3, 18, 17), (4, 19, 17), (11, 13, 17), (0, 7, 20), (16, 19, 21), (1, 9, 27), (16, 27, 31), (12, 21, 33), (15, 25, 33), (5, 14, 34), (0, 29, 36), (10, 27, 38), (2, 29, 40), (17, 21, 41), (5, 26, 42), (10, 15, 51), (4, 24, 54), (12, 20, 57), (14, 22, 63), (7, 12, 67), (18, 25, 74), (1, 18, 95), (4, 28, 122)]",1105
Prim's Algorithm (without queue),32,496,0.001830601999998,"[(0, 26, 8), (0, 23, 17), (0, 7, 20), (7, 8, 13), (8, 30, 12), (0, 29, 36), (29, 13, 14), (13, 6, 4), (13, 11, 17), (29, 2, 40), (26, 5, 42), (5, 14, 34), (14, 25, 4), (25, 15, 33), (15, 10, 51), (10, 27, 38), (27, 16, 31), (16, 19, 21), (19, 4, 17), (4, 24, 54), (14, 22, 63), (7, 12, 67), (12, 21, 33), (21, 17, 41), (12, 20, 57), (25, 18, 74), (18, 31, 3), (18, 3, 17), (18, 1, 95), (1, 9, 27), (4, 28, 122)]",1105
Kruskal's Algorithm (without queue),64,2016,0.004056845999997,"[(1, 46, 1), (7, 29, 1), (37, 62, 1), (43, 53, 1), (5, 40, 2), (14, 45, 2), (16, 21, 2), (56, 61, 3), (45, 50, 4), (0, 39, 7), (23, 32, 7), (35, 50, 7), (19, 63, 8), (3, 15, 9), (8, 41, 9), (9, 38, 10), (23, 54, 10), (29, 31, 10), (40, 50, 10), (36, 51, 12), (11, 16, 13), (32, 51, 14), (1, 16, 15), (9, 12, 15), (30, 50, 15), (9, 22, 16), (12, 33, 16), (26, 34, 16), (28, 51, 17), (13, 31, 18), (42, 45, 18), (44, 46, 18), (58, 63, 18), (5, 53, 19), (9, 34, 19), (27, 45, 19), (32, 43, 19), (29, 44, 20), (48, 60, 20), (6, 45, 22), (10, 55, 22), (3, 16, 23), (4, 51, 23), (12, 59, 23), (0, 37, 24), (8, 11, 24), (19, 47, 24), (24, 59, 24), (4, 10, 25), (8, 38, 25), (35, 41, 25), (38, 39, 25), (39, 58, 25), (4, 52, 26), (2, 3, 28), (41, 56, 28), (18, 31, 35), (2, 49, 37), (17, 59, 38), (11, 57, 40), (5, 60, 44), (20, 51, 52), (16, 25, 61)]",1164
Prim's Algorithm (without queue),64,2016,0.009351994999999,"[(0, 39, 7), (0, 37, 24), (37, 62, 1), (39, 38, 25), (38, 9, 10), (9, 12, 15), (9, 22, 16), (12, 33, 16), (9, 34, 19), (34, 26, 16), (12, 59, 23), (59, 24, 24), (39, 58, 25), (58, 63, 18), (63, 19, 8), (19, 47, 24), (38, 8, 25), (8, 41, 9), (8, 11, 24), (11, 16, 13), (16, 21, 2), (16, 1, 15), (1, 46, 1), (46, 44, 18), (44, 29, 20), (29, 7, 1), (29, 31, 10), (31, 13, 18), (16, 3, 23), (3, 15, 9), (41, 35, 25), (35, 50, 7), (50, 45, 4), (45, 14, 2), (50, 40, 10), (40, 5, 2), (50, 30, 15), (45, 42, 18), (45, 27, 19), (5, 53, 19), (53, 43, 1), (43, 32, 19), (32, 23, 7), (23, 54, 10), (32, 51, 14), (51, 36, 12), (51, 28, 17), (45, 6, 22), (51, 4, 23), (4, 10, 25), (10, 55, 22), (4, 52, 26), (41, 56, 28), (56, 61, 3), (3, 2, 28), (31, 18, 35), (2, 49, 37), (59, 17, 38), (11, 57, 40), (5, 60, 44), (60, 48, 20), (51, 20, 52), (16, 25, 61)]",1164
